,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
9,206.0,효성,59200.0,600.0,-1.00%,5000.0,12474.0,21071.0,7.24,62977.0,19733.3,0.0,
10,207.0,삼아알미늄,84000.0,600.0,+0.72%,500.0,12358.0,14712.0,38.72,48082.0,355.93,1.73,
11,208.0,동원시스템즈,42450.0,150.0,-0.35%,5000.0,12307.0,28991.0,13.96,345925.0,19.35,8.56,
12,209.0,TIGER TOP10,12715.0,15.0,+0.12%,0.0,12276.0,96550.0,17.9,173517.0,,,
13,210.0,솔루스첨단소재,17210.0,150.0,+0.88%,100.0,12084.0,70217.0,6.58,2403423.0,8.34,29.34,
17,211.0,KG모빌리티,6230.0,150.0,-2.35%,5000.0,12080.0,193900.0,24.79,604031.0,129.79,0.82,
18,212.0,롯데정밀화학,46750.0,350.0,-0.74%,5000.0,12062.0,25800.0,21.72,51737.0,6.63,7.78,
19,213.0,KODEX 단기채권PLUS,110085.0,20.0,+0.02%,0.0,12028.0,10926.0,0.0,22166.0,,,
20,214.0,롯데칠성,129000.0,1700.0,-1.30%,500.0,11970.0,9279.0,12.25,17112.0,7.82,11.61,
21,215.0,한국콜마,50700.0,800.0,-1.55%,500.0,11968.0,23605.0,30.33,208888.0,223.35,0.79,
25,216.0,KODEX 2차전지산업,21360.0,355.0,-1.63%,0.0,11898.0,55700.0,0.05,1418417.0,,,
26,217.0,영원무역홀딩스,85400.0,400.0,-0.47%,500.0,11645.0,13636.0,19.27,30851.0,3.13,16.88,
27,218.0,롯데웰푸드,123200.0,100.0,+0.08%,500.0,11623.0,9435.0,11.67,4115.0,16.48,3.46,
28,219.0,대웅,19790.0,410.0,-2.03%,500.0,11506.0,58142.0,5.87,43645.0,7.54,17.31,
29,220.0,한샘,48750.0,1450.0,-2.89%,1000.0,11473.0,23534.0,14.12,17708.0,-18.46,-15.77,
33,221.0,HDC현대산업개발,17300.0,350.0,-1.98%,5000.0,11402.0,65907.0,16.92,141142.0,6.59,5.87,
34,222.0,KBSTAR 종합채권(A-이상)액티브,101805.0,165.0,-0.16%,0.0,11284.0,11084.0,0.0,791.0,,,
35,223.0,HD현대건설기계,57100.0,1700.0,-2.89%,5000.0,11249.0,19701.0,17.51,174342.0,8.07,9.17,
36,224.0,SK리츠,4140.0,5.0,-0.12%,500.0,11183.0,270133.0,7.39,403921.0,318.46,0.33,
